Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBath,HouseAge,YearsSinceRemodel,Has2ndFloor,HasGarage,HasBasement,TotalPorchSF,QualitySize,QualityTotalSF,ExterQual_Encoded,ExterQualSize,KitchenQual_Encoded,TotalQualityScore,LiveableSF,TotalShelterSF,QualityAgeInteraction,BathBedroomRatio,GrLivArea_Squared,GrLivArea_Cubed,TotalSF_Squared,TotalSF_Cubed,LotArea_Squared,TotalBsmtSF_Squared,OverallQual_Squared,HouseAge_Squared,GrLivArea_Sqrt,LotArea_Sqrt,LivingAreaRatio,BasementRatio,GarageRatio,BathPerBedroom,RoomDensity,PorchRatio,LotShapeIndex,QualityPerSF,AgeBracket,QualityTier,SizeCategory,LotCategory,SaleSeason,IsRemodeled,MarketPeriod,HasPool,HasFireplace,HasCentralAir,GarageSize,LotShapeQuality,HouseType,BsmtQual_Encoded,HeatingQC_Encoded,TotalUsableSF,HasPoolFlag,HasGarageFlag,TotalAmenities,TotalUsableSF_Norm,TotalQualityScore_Norm,TotalAmenities_Norm,PropertyValueIndex
11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008,WD,Normal,129500,2080,2.0,43,43,0,1,1,0,5200,10400,3,3120,3,3.8,2080,2464,0.11363636363636363,0.5,1081600,1124864000,4326400,8998912000,125440000,1081600,25,1849,32.2490309931942,105.83005244258362,0.09284885278100169,0.4997597308986064,0.18452666987025468,0.5,0.004803073967339097,0.0,0.6552463319029247,2.450980392156863,Mature (25-50yr),Average,Small,Medium,Winter,0,Post-2008,0,0,1,1-Car,4,1-Story,3.0,5,2464,0,1,1,0.16593954502960423,0.48235294117647054,0.2,0.2827641620686916
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,,,,0,7,2006,New,Partial,345000,3499,4.0,1,0,1,1,1,168,20916,31491,5,11620,5,5.8,3499,4235,4.5,0.8,5400976,12551868224,12243001,42838260499,142181776,1380625,81,1,48.2078831727758,109.19706955774959,0.1948846960167715,0.3357142857142857,0.2102857142857143,0.8,0.004731182795698925,0.07225806451612904,0.7713453755270245,2.7075812274368234,New (0-5yr),Excellent,XLarge,Medium,Summer,1,Pre-2008,0,1,1,3+ Car,3,2-Story,5.0,5,4235,0,1,3,0.30391087566220004,0.9529411764705882,0.6,0.6189506840442628
13,20,RL,69.0,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008,WD,Normal,144000,1824,2.0,46,46,0,1,1,316,4560,9120,3,2736,3,3.4,1824,2176,0.10638297872340426,0.6666666666666666,831744,758550528,3326976,6068404224,168169024,831744,25,2116,30.199337741083,113.87712676389407,0.07032153597039094,0.4997260273972603,0.19287671232876713,0.6666666666666666,0.004381161007667032,0.34611171960569553,0.600641763454052,2.6150627615062763,Mature (25-50yr),Average,Small,Large,Fall,0,Post-2008,0,0,1,1-Car,2,1-Story,3.0,3,2176,0,1,1,0.1435026488002493,0.388235294117647,0.2,0.24391264763929876
14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007,New,Partial,279500,2988,2.0,1,0,0,1,1,193,10458,20916,4,5976,4,4.8,2988,3828,3.5,0.5,2232036,3334661784,8928144,26677294272,113465104,2232036,49,1,38.65229618017538,103.20852677952534,0.14024218529991553,0.4998327199732352,0.2810304449648712,0.5,0.0046822742474916385,0.1290969899665552,0.8732490786721253,2.806736166800321,New (0-5yr),Good,Large,Medium,Summer,1,Pre-2008,0,1,1,3+ Car,3,1-Story,4.0,5,3828,0,1,2,0.2722031785602992,0.7176470588235294,0.4,0.4632834124612762
15,20,RL,69.0,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,2008,WD,Normal,157000,2506,2.5,48,48,0,1,1,389,7518,15036,3,3759,3,3.6,2506,2858,0.12244897959183673,0.8333333333333334,1570009,1967221277,6280036,15737770216,119246400,1570009,36,2304,35.397740040855716,104.49880382090505,0.11473308305100266,0.49980055843637816,0.1404068607897886,0.8333333333333334,0.003987240829346092,0.310207336523126,0.6540358516020193,2.6631158455392807,Mature (25-50yr),Good,Medium,Medium,Spring,0,Post-2008,0,1,1,1-Car,3,1-Story,3.0,3,2858,0,1,2,0.19663446556559677,0.43529411764705883,0.4,0.34397619440421856
16,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,,GdPrv,,0,7,2007,WD,Normal,132000,1686,1.0,78,6,0,1,1,160,5978,11802,3,2562,3,4.2,1686,2262,0.08860759493670886,0.3333333333333333,729316,622835864,2842596,4792616856,37454400,692224,49,6084,29.223278392404914,78.23042886243178,0.13951968632576375,0.49318316538233553,0.34143449911084767,0.3333333333333333,0.005847953216374269,0.1871345029239766,0.6436920856322963,3.7756202804746493,Old (50-100yr),Good,Small,Small,Summer,1,Pre-2008,0,0,1,2-Car,4,1.5-Story,3.0,5,2262,0,1,1,0.1502025553131817,0.5764705882352942,0.2,0.30889104784949195
17,20,RL,69.0,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,,,Shed,700,3,2010,WD,Normal,149000,2008,2.0,40,40,0,1,1,0,6024,12048,3,3012,3,4.0,2008,2488,0.14634146341463414,0.6666666666666666,1008016,1012048064,4032064,8096384512,126360081,1008016,36,1600,31.68595903550972,106.02358228243375,0.08930795232165095,0.4997511199601792,0.2389248382279741,0.6666666666666666,0.004975124378109453,0.0,0.6447177204170755,2.9940119760479043,Mature (25-50yr),Good,Small,Medium,Spring,0,Post-2008,0,1,1,2-Car,3,1-Story,3.0,5,2488,0,1,2,0.16780928638205048,0.5294117647058824,0.4,0.36574035036264424
18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,,,Shed,500,10,2006,WD,Normal,90000,1296,2.0,39,39,0,1,0,0,5184,5184,3,3888,3,3.25,1296,1812,0.1,0.6666666666666666,1679616,2176782336,1679616,2176782336,116445681,0,16,1521,36.0,103.87973815908471,0.12008895478131949,0.0,0.39784117193523516,0.6666666666666666,0.004626060138781804,0.0,0.6865005697362464,1.7421602787456445,Mature (25-50yr),Average,Medium,Medium,Fall,0,Pre-2008,0,0,1,2-Car,4,1-Story,,3,1812,0,1,1,0.11514490495481458,0.35294117647058826,0.2,0.22269536047513427
19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,,,,0,6,2008,WD,Normal,159000,2228,2.5,4,4,0,1,1,102,5570,11140,3,3342,4,4.0,2228,2804,1.0,0.625,1240996,1382469544,4963984,11059756352,187553025,1240996,25,16,33.37663853655727,117.0256382165891,0.0813376168224299,0.4997756841633019,0.25841184387617766,0.625,0.0053811659192825115,0.09147982062780269,0.5592005347082577,2.3651844843897827,New (0-5yr),Average,Small,Large,Summer,0,Post-2008,0,0,1,2-Car,4,1-Story,3.0,5,2804,0,1,1,0.1924275475225927,0.5294117647058824,0.2,0.30727977074282503
20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2009,COD,Abnorml,139000,2368,1.0,51,44,0,1,1,0,6695,11840,3,4017,3,3.4,2368,2662,0.09615384615384616,0.25,1792921,2400721219,5607424,13278380032,57153600,1058841,25,2601,36.59234892706397,86.94826047713663,0.17709297711942865,0.4343604896580836,0.12410299704516674,0.25,0.004477611940298508,0.0,0.7959225073951005,2.1376656690893543,Old (50-100yr),Average,Medium,Small,Spring,1,Post-2008,0,0,1,1-Car,4,1-Story,3.0,3,2662,0,1,1,0.18136491118728576,0.388235294117647,0.2,0.2565334017683109
21,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,,,,0,11,2006,New,Partial,325300,3534,3.5,1,0,1,1,1,394,19008,28272,4,9504,4,5.2,3534,4387,4.0,0.7,5645376,13413413376,12489156,44136677304,202066225,1340964,64,1,48.744230427815765,119.22667486766541,0.1671356218345526,0.3275813295615276,0.2413012729844413,0.7,0.0037862852334875894,0.16575515355490114,0.8400797918695798,2.3696682464454977,New (0-5yr),Excellent,XLarge,Large,Fall,1,Pre-2008,0,1,1,3+ Car,3,2-Story,5.0,5,4387,0,1,2,0.3157525708943596,0.8117647058823529,0.4,0.5091724255922375
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,,GdPrv,,0,6,2007,WD,Normal,139400,1745,1.0,77,57,0,1,1,205,7756,12215,3,3324,4,4.4,1745,2025,0.08974358974358974,0.25,1227664,1360251712,3045025,5313568625,55487601,405769,49,5929,33.28663395418648,86.3075894692929,0.1487248322147651,0.36483390607101945,0.16036655211912945,0.25,0.005410279531109108,0.1848512173128945,0.6528642051221396,3.320683111954459,Old (50-100yr),Good,Small,Small,Summer,1,Pre-2008,0,1,1,1-Car,4,1.5-Story,3.0,5,2025,0,1,2,0.131738859457775,0.623529411764706,0.4,0.38508942374082694
